The training set: set 1
********************0********************
Current learning rate: 0.01
Epoch: [0][  0/292]	Loss 2.1208 (2.1208)	Accuracy 12.500 (12.500)
Epoch: [0][ 10/292]	Loss 1.9411 (2.0493)	Accuracy 21.875 (17.898)
Epoch: [0][ 20/292]	Loss 1.8471 (2.0607)	Accuracy 28.125 (19.643)
Epoch: [0][ 30/292]	Loss 2.0997 (2.0352)	Accuracy  6.250 (19.456)
Epoch: [0][ 40/292]	Loss 1.9617 (2.0125)	Accuracy 18.750 (20.503)
Epoch: [0][ 50/292]	Loss 1.9710 (2.0024)	Accuracy 18.750 (20.588)
Epoch: [0][ 60/292]	Loss 1.6935 (1.9809)	Accuracy 21.875 (20.236)
Epoch: [0][ 70/292]	Loss 2.0808 (1.9584)	Accuracy 15.625 (20.995)
Epoch: [0][ 80/292]	Loss 1.9293 (1.9517)	Accuracy  9.375 (21.065)
Epoch: [0][ 90/292]	Loss 1.8280 (1.9401)	Accuracy 25.000 (20.845)
Epoch: [0][100/292]	Loss 1.8298 (1.9325)	Accuracy 25.000 (20.823)
Epoch: [0][110/292]	Loss 1.9303 (1.9233)	Accuracy 25.000 (21.059)
Epoch: [0][120/292]	Loss 1.7508 (1.9146)	Accuracy 34.375 (21.436)
Epoch: [0][130/292]	Loss 1.9258 (1.9119)	Accuracy  9.375 (21.422)
Epoch: [0][140/292]	Loss 1.8254 (1.9086)	Accuracy 18.750 (21.321)
Epoch: [0][150/292]	Loss 1.6494 (1.9022)	Accuracy 37.500 (21.440)
Epoch: [0][160/292]	Loss 1.7738 (1.8979)	Accuracy 18.750 (21.273)
Epoch: [0][170/292]	Loss 1.6901 (1.8896)	Accuracy 34.375 (21.564)
Epoch: [0][180/292]	Loss 1.7461 (1.8850)	Accuracy 28.125 (21.754)
Epoch: [0][190/292]	Loss 1.8437 (1.8831)	Accuracy 25.000 (21.744)
Epoch: [0][200/292]	Loss 1.9228 (1.8796)	Accuracy 31.250 (21.859)
Epoch: [0][210/292]	Loss 1.8064 (1.8760)	Accuracy 12.500 (21.771)
Epoch: [0][220/292]	Loss 1.5988 (1.8727)	Accuracy 37.500 (21.818)
Epoch: [0][230/292]	Loss 1.8093 (1.8731)	Accuracy 25.000 (21.970)
Epoch: [0][240/292]	Loss 1.6955 (1.8693)	Accuracy 25.000 (22.070)
Epoch: [0][250/292]	Loss 1.8228 (1.8659)	Accuracy 25.000 (21.962)
Epoch: [0][260/292]	Loss 1.7574 (1.8645)	Accuracy 15.625 (21.779)
Epoch: [0][270/292]	Loss 1.7204 (1.8619)	Accuracy 28.125 (21.829)
Epoch: [0][280/292]	Loss 1.8986 (1.8602)	Accuracy 18.750 (21.908)
Epoch: [0][290/292]	Loss 1.7200 (1.8572)	Accuracy 18.750 (21.929)
Test: [ 0/74]	Loss 1.9355 (1.9355)	Accuracy 18.750 (18.750)
Test: [10/74]	Loss 1.9297 (1.8062)	Accuracy  9.375 (22.727)
Test: [20/74]	Loss 1.8653 (1.8429)	Accuracy 12.500 (21.429)
Test: [30/74]	Loss 1.7423 (1.8426)	Accuracy 28.125 (21.472)
Test: [40/74]	Loss 1.8151 (1.8315)	Accuracy 21.875 (21.951)
Test: [50/74]	Loss 1.8627 (1.8360)	Accuracy 18.750 (21.936)
Test: [60/74]	Loss 1.5508 (1.8188)	Accuracy 40.625 (23.053)
Test: [70/74]	Loss 1.5976 (1.8049)	Accuracy 34.375 (22.975)
Current Accuracy: 22.412
The best accuracy: 22.41231918334961
An epoch time: {:.1f}s320.7086491584778
********************1********************
Current learning rate: 0.01
Epoch: [1][  0/292]	Loss 1.7884 (1.7884)	Accuracy 18.750 (18.750)
Epoch: [1][ 10/292]	Loss 1.7426 (1.7666)	Accuracy 28.125 (25.568)
Epoch: [1][ 20/292]	Loss 1.8063 (1.8018)	Accuracy 18.750 (23.363)
Epoch: [1][ 30/292]	Loss 1.7194 (1.8170)	Accuracy 37.500 (22.681)
Epoch: [1][ 40/292]	Loss 1.7646 (1.8089)	Accuracy 34.375 (22.637)
Epoch: [1][ 50/292]	Loss 1.8245 (1.8093)	Accuracy  9.375 (22.733)
Epoch: [1][ 60/292]	Loss 1.5863 (1.8008)	Accuracy 40.625 (23.617)
Epoch: [1][ 70/292]	Loss 1.7962 (1.7958)	Accuracy 25.000 (23.900)
Epoch: [1][ 80/292]	Loss 1.9574 (1.8033)	Accuracy  9.375 (23.380)
Epoch: [1][ 90/292]	Loss 1.6944 (1.8011)	Accuracy 18.750 (23.283)
Epoch: [1][100/292]	Loss 1.6827 (1.7969)	Accuracy 31.250 (23.267)
Epoch: [1][110/292]	Loss 1.7419 (1.7994)	Accuracy 21.875 (23.086)
Epoch: [1][120/292]	Loss 1.7743 (1.7983)	Accuracy 25.000 (23.011)
Epoch: [1][130/292]	Loss 1.6519 (1.7985)	Accuracy 31.250 (23.259)
Epoch: [1][140/292]	Loss 1.7266 (1.7955)	Accuracy 31.250 (23.338)
Epoch: [1][150/292]	Loss 1.9000 (1.7933)	Accuracy 21.875 (23.386)
Epoch: [1][160/292]	Loss 1.8551 (1.7938)	Accuracy 25.000 (23.156)
Epoch: [1][170/292]	Loss 1.8181 (1.7919)	Accuracy  9.375 (23.063)
Epoch: [1][180/292]	Loss 1.8798 (1.7916)	Accuracy 15.625 (23.308)
Epoch: [1][190/292]	Loss 1.7736 (1.7916)	Accuracy 21.875 (23.364)
Epoch: [1][200/292]	Loss 1.7047 (1.7911)	Accuracy 25.000 (23.492)
Epoch: [1][210/292]	Loss 1.9412 (1.7914)	Accuracy 21.875 (23.608)
Epoch: [1][220/292]	Loss 1.7932 (1.7914)	Accuracy 25.000 (23.657)
Epoch: [1][230/292]	Loss 1.8051 (1.7939)	Accuracy 21.875 (23.566)
Epoch: [1][240/292]	Loss 1.8400 (1.7957)	Accuracy 21.875 (23.444)
Epoch: [1][250/292]	Loss 1.8868 (1.7982)	Accuracy 12.500 (23.245)
Epoch: [1][260/292]	Loss 1.7454 (1.7968)	Accuracy 28.125 (23.587)
Epoch: [1][270/292]	Loss 1.5977 (1.7955)	Accuracy 37.500 (23.720)
Epoch: [1][280/292]	Loss 1.7264 (1.7948)	Accuracy 28.125 (23.899)
Epoch: [1][290/292]	Loss 1.7657 (1.7944)	Accuracy 18.750 (23.926)
Test: [ 0/74]	Loss 1.8026 (1.8026)	Accuracy 31.250 (31.250)
Test: [10/74]	Loss 1.7678 (1.7483)	Accuracy 15.625 (24.716)
Test: [20/74]	Loss 1.7890 (1.7660)	Accuracy 25.000 (25.000)
Test: [30/74]	Loss 1.6950 (1.7724)	Accuracy 40.625 (25.403)
Test: [40/74]	Loss 1.8142 (1.7646)	Accuracy 18.750 (25.457)
Test: [50/74]	Loss 1.7760 (1.7674)	Accuracy 15.625 (25.429)
Test: [60/74]	Loss 1.4945 (1.7524)	Accuracy 37.500 (26.332)
Test: [70/74]	Loss 1.9397 (1.7487)	Accuracy 21.875 (25.792)
Current Accuracy: 25.192
The best accuracy: 25.192472457885742
An epoch time: {:.1f}s330.62014293670654
********************2********************
Current learning rate: 0.01
Epoch: [2][  0/292]	Loss 1.7102 (1.7102)	Accuracy 15.625 (15.625)
Epoch: [2][ 10/292]	Loss 1.9154 (1.7727)	Accuracy 15.625 (25.568)
Epoch: [2][ 20/292]	Loss 1.7880 (1.7759)	Accuracy 21.875 (24.405)
Epoch: [2][ 30/292]	Loss 1.7268 (1.7678)	Accuracy 25.000 (24.496)
Epoch: [2][ 40/292]	Loss 1.9369 (1.7721)	Accuracy 15.625 (24.009)
Epoch: [2][ 50/292]	Loss 1.7221 (1.7794)	Accuracy 28.125 (23.591)
Epoch: [2][ 60/292]	Loss 1.8007 (1.7719)	Accuracy 21.875 (24.488)
Epoch: [2][ 70/292]	Loss 1.7612 (1.7642)	Accuracy 12.500 (24.648)
Epoch: [2][ 80/292]	Loss 1.8097 (1.7666)	Accuracy 31.250 (24.537)
Epoch: [2][ 90/292]	Loss 1.7271 (1.7633)	Accuracy 40.625 (24.725)
Epoch: [2][100/292]	Loss 1.7424 (1.7656)	Accuracy 28.125 (24.938)
Epoch: [2][110/292]	Loss 1.8013 (1.7667)	Accuracy 21.875 (25.028)
Epoch: [2][120/292]	Loss 1.9343 (1.7645)	Accuracy 28.125 (24.845)
Epoch: [2][130/292]	Loss 1.6983 (1.7650)	Accuracy 25.000 (24.928)
Epoch: [2][140/292]	Loss 1.9373 (1.7650)	Accuracy 12.500 (24.956)
Epoch: [2][150/292]	Loss 1.5761 (1.7595)	Accuracy 34.375 (25.352)
Epoch: [2][160/292]	Loss 1.6795 (1.7590)	Accuracy 31.250 (25.446)
Epoch: [2][170/292]	Loss 1.6531 (1.7562)	Accuracy 31.250 (25.621)
Epoch: [2][180/292]	Loss 1.7307 (1.7608)	Accuracy 28.125 (25.518)
Epoch: [2][190/292]	Loss 1.6645 (1.7607)	Accuracy 28.125 (25.589)
Epoch: [2][200/292]	Loss 1.7169 (1.7621)	Accuracy 34.375 (25.404)
Epoch: [2][210/292]	Loss 1.8631 (1.7637)	Accuracy 15.625 (25.252)
Epoch: [2][220/292]	Loss 1.8457 (1.7646)	Accuracy 12.500 (25.113)
Epoch: [2][230/292]	Loss 1.7765 (1.7641)	Accuracy 21.875 (25.149)
Epoch: [2][240/292]	Loss 1.6734 (1.7637)	Accuracy 37.500 (25.169)
Epoch: [2][250/292]	Loss 1.8639 (1.7659)	Accuracy 31.250 (25.411)
Epoch: [2][260/292]	Loss 1.8443 (1.7687)	Accuracy 25.000 (25.335)
Epoch: [2][270/292]	Loss 1.6511 (1.7684)	Accuracy 34.375 (25.438)
Epoch: [2][280/292]	Loss 1.8223 (1.7685)	Accuracy 18.750 (25.467)
Epoch: [2][290/292]	Loss 1.5954 (1.7665)	Accuracy 25.000 (25.462)
